in_dvorak,in_colemak
Oahu,rant
papa,papa
Sony,orig
sunset,otiose
Dare,hays
pare,pays
hare,nays
ages,also
gait,lade
unit,tide
Faye,jags
mamma,mamma
jape,caps
hang,nail
conj,uric
Edam,sham
mars,mayo
pony,prig
Maud,math
gape,laps
knots,vireo
Otis,redo
dags,halo
dare,hays
fame,jams
rape,yaps
Japs,capo
posh,pron
Isis,dodo
fang,jail
chis,undo
none,iris
Page,pals
Mani,maid
fare,jays
unite,tides
site,odes
mange,mails
game,lams
dang,hail
toys,ergo
Mars,mayo
page,pals
nosh,iron
pager,palsy
pang,pail
unto,tier
Nita,idea
ISIS,dodo
dame,hams
bars,kayo
Chung,until
Dame,hams
poser,prosy
Gama,lama
knits,video
used,tosh
ague,alts
pose,pros
mama,mama
Jame,cams
