fork,type
disk,sure
fief,tuft
Lula,ilia
ma'am,ma'am
sack,race
sank,rake
racks,pacer
Mich,much
who'd,why's
Adar,asap
Sask,rare
riff,putt
rick,puce
Lamb,iamb
mamma,mamma
drank,spake
base,barf
Assad,arras
chard,chaps
Banks,baker
data,saga
lamb,iamb
mama,mama
wham,wham
also,airy
flee,tiff
skulked,reliefs
dirks,super
wale,waif
macaw,macaw
based,barfs
dram,spam
risks,purer
jink,nuke
card,caps
Hank,hake
mach,mach
cull,clii
Baum,balm
hank,hake
char,chap
risk,pure
chasm,charm
mask,mare
Sadr,rasp
wank,wake
banks,baker
Mach,mach
Hals,hair
glee,diff
rink,puke
bleed,biffs
basks,barer
mamba,mamba
faun,talk
sacks,racer
gonk,dyke
chit,chug
bank,bake
casks,carer
bask,bare
sagas,radar
xxxv,xxxv
cask,care
farad,tapas
Mack,mace
Rick,puce
bard,baps
waled,waifs
whir,whup
Yalu,jail
biff,butt
rack,pace
dank,sake
miff,mutt
glam,diam
disks,surer
